title,year,gross
The Prison,2017,21205329
One Hundred Thousand Bad Jokes 2,2017,20460352
Avengers: Infinity War,2018,2048359754
Black Panther,2018,1346913161
Jurassic World: Fallen Kingdom,2018,1308467944
Incredibles 2,2018,1242805359
Aquaman,2018,1151961807
Bohemian Rhapsody,2018,903655259
Venom,2018,856085151
Mission: Impossible - Fallout,2018,791115104
Deadpool 2,2018,734546611
Fantastic Beasts: The Crimes of Grindelwald,2018,655755901
Ant-Man and the Wasp,2018,622674139
Ready Player One,2018,583490172
Operation Red Sea,2018,579330426
Detective Chinatown 2,2018,544185156
Ralph Breaks the Internet,2018,529323962
The Meg,2018,529243742
Hotel Transylvania 3: Summer Vacation,2018,528583774
The Grinch,2018,512453517
Bumblebee,2018,467989645
Dying to Survive,2018,451176639
A Star Is Born,2018,436388866
Rampage,2018,428128233
Mamma Mia! Here We Go Again,2018,395044706
Solo: A Star Wars Story,2018,392924807
Spider-Man: Into the Spider-Verse,2018,375582637
Fifty Shades Freed,2018,371985018
Hello Mr. Billionaire,2018,366961907
The Nun,2018,366050119
Monster Hunt 2,2018,361682618
Peter Rabbit,2018,351266433
Mary Poppins Returns,2018,349537494
A Quiet Place,2018,340939361
Green Book,2018,321752656
Skyscraper,2018,304868961
Ocean's Eight,2018,297718711
Pacific Rim: Uprising,2018,290930148
Maze Runner: The Death Cure,2018,288175335
Tomb Raider,2018,274950803
Halloween,2018,255485178
Crazy Rich Asians,2018,239032921
Smallfoot,2018,217940103
Creed II,2018,214215889
Us and Them,2018,209221380
The Island,2018,198326350
Christopher Robin,2018,197744377
The Equalizer 2,2018,190400157
Project Gutenberg,2018,188116796
The Mule,2018,174804407
The Nutcracker and the Four Realms,2018,173961069
Insidious: The Last Key,2018,167885588
The Predator,2018,160542134
Johnny English Strikes Again,2018,158970776
Red Sparrow,2018,151572634
More Than Blue,2018,142958164
The First Purge,2018,137056262
How Long Will I Love U,2018,136796719
A Wrinkle in Time,2018,132675864
The House with a Clock in Its Walls,2018,131457147
Instant Family,2018,120556201
A Cool Fish,2018,118153135
Game Night,2018,117679066
Dragon Ball Super: Broly,2018,115750445
The Monkey King 3,2018,115084576
First Man,2018,105697415
Book Club,2018,104438188
Night School,2018,103105878
Detective Conan: Zero the Enforcer,2018,101860359
Alpha,2018,99630675
Along With the Gods: The Last 49 Days,2018,97962238
A Simple Favor,2018,97644617
Boonie Bears: The Big Shrink,2018,96845907
The Favourite,2018,95918706
Truth or Dare,2018,95330493
Kill Mobile,2018,94870905
I Feel Pretty,2018,94539426
Blockers,2018,94017294
BlacKkKlansman,2018,93400823
Goosebumps 2: Haunted Halloween,2018,93320380
Shadow,2018,91708374
Overboard,2018,91244913
Sherlock Gnomes,2018,90497778
Detective Dee: The Four Heavenly Kings,2018,90040771
"Hello, Mrs. Money",2018,86874070
Robin Hood,2018,86489031
I Can Only Imagine,2018,86086881
Hidden Man,2018,85170581
Mortal Engines,2018,83672673
iPartment the Movie,2018,81096321
Doraemon the Movie: Nobita's Treasure Island,2018,80920916
Den of Thieves,2018,80509622
Hereditary,2018,80080156
Code Blue: The Movie,2018,78778562
Tag,2018,78230625
Sanju,2018,76693052
Vice,2018,76073488
Widows,2018,75984700
Sicario: Day of the Soldado,2018,75837743
Searching,2018,75462037
The Spy Who Dumped Me,2018,75320680
Animal World,2018,74922830
Amazing China,2018,72506343
Second Act,2018,72282227
Spirited Away 2018 Re-release,2018,70186029
Shoplifters,2018,67999335
12 Strong,2018,67359190
"Love, Simon",2018,66316289
Mile 22,2018,66308758
Life of the Party,2018,65659911
L Storm,2018,64517456
Capernaum,2018,64417003
Isle of Dogs,2018,64241499
Andhadhun,2018,62475342
Adrift,2018,59945012
The 15:17 to Paris,2018,57176286
A or B,2018,56239049
Go Brother!,2018,54663060
Early Man,2018,54622814
Peppermint,2018,53918723
Teen Titans GO! To the Movies,2018,52390236
Slender Man,2018,51738549
Breaking In,2018,51411620
Cry Me a Sad River,2018,51400614
Once Upon a Deadpool 2018 Re-release,2018,51349833
Simmba,2018,51329025
Family is Family,2018,49954866
Death Wish,2018,49562710
The Magic Tuche,2018,47427990
Golden Job,2018,47287851
Mary Queen of Scots,2018,46712809
Uncle Drew,2018,46664414
Acrimony,2018,46403669
Asterix: The Secret of the Magic Potion,2018,46214871
Bajrangi Bhaijaan 2018 Re-release,2018,45579004
Winchester,2018,44019588
Annihilation,2018,43070915
The Possession of Hannah Grace,2018,43016528
Long Day's Journey Into Night,2018,42140994
Overlord,2018,41657844
The Great Battle,2018,41509280
The Darkest Minds,2018,41142379
"Lost, Found",2018,41043552
Holmes & Watson,2018,40466970
Intimate Strangers,2018,39576060
Thugs of Hindostan,2018,39570044
Sink or Swim,2018,39193850
Show Dogs,2018,39156854
Believer,2018,39047153
The Spy Gone North,2018,38844509
On the Basis of Sex,2018,38673750
Taxi 5,2018,38598227
Fat Buddies,2018,37496410
Till The End Of The World,2018,37013733
2.0,2018,36945969
Nothing to Lose,2018,36075317
Mia and the White Lion,2018,35487190
The Girl in the Spider's Web,2018,35164920
The Hate U Give,2018,34934009
Nobody's Fool,2018,33705333
Baaghi 2,2018,33139063
The Hurricane Heist,2018,32517248
All About Me,2018,31920159
Bad Times at the El Royale,2018,31882724
Beautiful Boy,2018,31711319
Hunter Killer,2018,31672678
Super Troopers 2,2018,31626386
The Strangers: Prey at Night,2018,31039126
Gintama 2: Rules are Made to be Broken,2018,30896653
The Way of the Bug,2018,30355804
Clergy,2018,30114115
Ice,2018,29806210
Free Solo,2018,29390279
Dark Figure of Crime,2018,29176133
Pad Man,2018,29045020
Mirai,2018,28756961
Default,2018,27694043
One Cut of the Dead,2018,27590180
The Happytime Murders,2018,27506452
Midnight Sun,2018,27365467
VIP Policeman,2018,27222681
My Neighbor Totoro 2018 Re-release,2018,27083857
The Faces of My Gene,2018,26796279
Badhaai Ho,2018,26125610
Hichki,2018,26055222
Champions,2018,25962612
White Boy Rick,2018,25957482
"Paul, Apostle of Christ",2018,25915966
Keys to the Heart,2018,25375866
Stan & Ollie,2018,24420923
The Witch: Part 1 - The Subversion,2018,24340302
The Accidental Detective 2: In Action,2018,24243825
Killing for the Prosecution,2018,23929620
Pokémon the Movie: The Power of Us,2018,23740788
The Guernsey Literary and Potato Peel Pie Society,2018,23148937
The Crimes That Bind,2018,23144130
New Happy Dad and Son 3: Adventure in Russia,2018,23130469
Padmaavat,2018,22991060
Won't You Be My Neighbor?,2018,22844741
Europe Raiders,2018,22435156
Mojin: The Worm Valley,2018,22381583
Stree,2018,22075730
Avengers: Endgame,2019,2799439100
The Lion King,2019,1656943394
Frozen II,2019,1450026933
Spider-Man: Far from Home,2019,1131927996
Captain Marvel,2019,1128274794
Joker,2019,1078751311
Star Wars: Episode IX - The Rise of Skywalker,2019,1074144248
Toy Story 4,2019,1073394593
Aladdin,2019,1050693953
Jumanji: The Next Level,2019,801693929
Fast & Furious Presents: Hobbs & Shaw,2019,760732926
Ne Zha,2019,726063471
The Wandering Earth,2019,699856699
How to Train Your Dragon: The Hidden World,2019,521799505
Maleficent: Mistress of Evil,2019,491730089
It Chapter Two,2019,473093228
"My People, My Country",2019,450064993
Pokémon: Detective Pikachu,2019,433305346
The Secret Life of Pets 2,2019,431164459
The Captain,2019,417282021
Alita: Battle Angel,2019,404980543
Godzilla: King of the Monsters,2019,387300138
1917,2019,384580017
Once Upon a Time... in Hollywood,2019,377426903
Shazam!,2019,365971656
Dumbo,2019,353284621
John Wick: Chapter 3 - Parabellum,2019,327777335
Crazy Alien,2019,327598891
Knives Out,2019,312897920
Terminator: Dark Fate,2019,261119292
Parasite,2019,258098332
Us,2019,256022707
Pegasus,2019,255863112
Men in Black: International,2019,253890701
Dark Phoenix,2019,252442974
Glass,2019,246999039
The Bravest,2019,245179562
Annabelle Comes Home,2019,231252591
Better Days,2019,225918798
Ford v Ferrari,2019,225508210
Little Women,2019,218843645
The Addams Family,2019,203044905
Rocketman,2019,195320400
Downton Abbey,2019,194694725
Weathering with You,2019,192822685
The Lego Movie 2: The Second Part,2019,192306508
Sheep Without a Shepherd,2019,191602146
The White Storm 2: Drug Lords,2019,189396380
Abominable,2019,188623517
Ip Man 4: The Finale,2019,176345966
Gemini Man,2019,173469516
Spies in Disguise,2019,171616764
Hustlers,2019,157563598
The Climbers,2019,156892866
Escape Room,2019,155712077
Yesterday,2019,154608856
The Angry Birds Movie 2,2019,147792047
Angel Has Fallen,2019,146661977
Ad Astra,2019,127461872
Midway,2019,127390389
The Upside,2019,125852517
Last Christmas,2019,123446172
The Curse of La Llorona,2019,123233739
Looking Up,2019,122994583
Zombieland: Double Tap,2019,122810399
Dora and the Lost City of Gold,2019,120597108
Extreme Job,2019,119932733
Wonder Park,2019,119559110
P Storm,2019,117991727
Detective Conan: The Fist of Blue Sapphire,2019,115448200
The Gentlemen,2019,115171795
Pet Sematary,2019,113118226
Boonie Bears: Blast Into the Past,2019,112367881
Good Boys,2019,111173598
Scary Stories to Tell in the Dark,2019,104545505
Line Walker 2: Invisible Spy,2019,99482027
The Hustle,2019,97409779
The New King of Comedy,2019,95618308
Adoring,2019,94975692
Five Feet Apart,2019,92554209
Crawl,2019,91542097
Rambo: Last Blood,2019,91490353
Jojo Rabbit,2019,90335025
Serial (Bad) Weddings 2,2019,87761988
One Piece: Stampede,2019,81562741
A Dog's Way Home,2019,80708134
A Dog's Journey,2019,78870908
Cold Pursuit,2019,76419755
Cats,2019,75558925
A Madea Family Funeral,2019,74747725
Charlie's Angels,2019,73279888
Doctor Sleep,2019,72381712
What Men Want,2019,72216294
Exit,2019,69501772
After,2019,69497587
Playing with Fire,2019,69412425
A Beautiful Day in the Neighborhood,2019,67925733
War,2019,67179155
Doraemon: Nobita's Chronicle of the Moon Exploration,2019,65406606
Happy Death Day 2U,2019,64600152
White Snake,2019,62098770
Bombshell,2019,61404394
Ashfall,2019,61354854
Ma,2019,61220784
My Best Summer,2019,60011073
Ready or Not,2019,57615777
Jade Dynasty,2019,57149764
The Perfect Secret,2019,56573047
The Big Shot,2019,56040681
Hellboy,2019,55064690
Les Misérables,2019,54606372
Long Shot,2019,53873809
Just Mercy,2019,50901502
Son of a Rich,2019,50803834
Kingdom,2019,50574061
Breakthrough,2019,50444358
Uncut Gems,2019,50023780
21 Bridges,2019,49939757
Song of Youth,2019,49615508
The Grudge,2019,49511319
Little,2019,48987096
Isn't It Romantic,2019,48791187
The Legend of Hei,2019,48507082
Countdown,2019,48021766
Midsommar,2019,47850980
Queen & Slim,2019,47834125
47 Meters Down: Uncaged,2019,47582563
Chasing the Dragon II: Wild Wild Bunch,2019,45733356
Judy,2019,45701880
Child's Play,2019,44907074
Richard Jewell,2019,44645542
Harriet,2019,43347017
A Shaun the Sheep Movie: Farmageddon,2019,43100248
Fighting with My Family,2019,41503392
Masquerade Hotel,2019,40396244
The Last Wish,2019,39756292
Uri: The Surgical Strike,2019,39346577
Overcomer,2019,38026103
T-34,2019,37410850
Pain and Glory,2019,37359689
A Witness Out of the Blue,2019,37092694
The Intruder,2019,36599361
The Queen's Corgi,2019,35515687
Warrior of the Hornor,2019,34291831
The Battle: Roar to Victory,2019,34148707
The Bad Guys: The Movie,2019,34024386
The Good Liar,2019,33856058
The Art of Racing in the Rain,2019,33766787
Brightburn,2019,33224654
Bharat,2019,33185983
Fly Me to the Saitama,2019,32802347
UglyDolls,2019,32450241
Stuber,2019,32390945
Hit Me Anyone One More Time!,2019,32333512
Somewhere Winter,2019,32218990
The Kid Who Would Be King,2019,32140970
Two Tigers,2019,32001580
Anna,2019,31626978
My Dear Liar,2019,31177968
The Wild Goose Lake,2019,31064835
My Hero Academia: Heroes Rising,2019,29971229
Fall In Love At First Kiss,2019,29206238
Gully Boy,2019,28299498
Kim Ji-young: Born 1982,2019,27696393
Pokémon: Mewtwo Strikes Back - Evolution,2019,27347118
Almost a Comedy,2019,26990962
Total Dhamaal,2019,26911995
Missing Link,2019,26565710
No Manches Frida 2,2019,26493648
The Confidence Man JP,2019,26228317
The Confidence Man JP: The Movie,2019,25958189
"The Gangster, the Cop, the Devil",2019,25775371
Bodies at Rest,2019,25293853
Booksmart,2019,24959607
Super 30,2019,24701637
Skyfire,2019,24444590
Start-Up,2019,24106579
Pinocchio,2019,23841090
A Rainy Day in New York,2019,23805899
The Peanut Butter Falcon,2019,23712090
Little White Lies 2,2019,23623665
Ossan's Love: Love or Dead,2019,23422744
Only Cloud Knows,2019,23414998
Dark Waters,2019,23108017
The Farewell,2019,23076657
The Knight of Shadows: Between Yin and Yang,2019,22936257
Black and Blue,2019,22741061
Late Night,2019,22386555
Unplanned,2019,21585326
Crazy Romance,2019,21386368
Shaft,2019,21360215
Hotel Mumbai,2019,21314816
Integrity,2019,21290004
The Secret Mission,2019,21083522
This Is Tomas,2019,20084169
The Specials,2019,19363826
Always Miss You,2019,19015465
An Officer and a Spy,2019,18899214
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,2019,18738951
Greta,2019,18653107
The Eight Hundred,2020,461421559
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,453230408
Bad Boys for Life,2020,426505244
"My People, My Homeland",2020,422390820
Tenet,2020,365304105
Sonic the Hedgehog,2020,319715683
Dolittle,2020,251410631
Jiang Ziya,2020,240646355
A Little Red Flower,2020,216000000
The Croods: A New Age,2020,215905815
Birds of Prey,2020,205358461
Shock Wave 2,2020,198921659
Wonder Woman 1984,2020,169601036
The Sacrifice,2020,161047608
The Invisible Man,2020,144492724
Onward,2020,141940042
Warm Hug,2020,129240236
Soul,2020,121903885
The Call of the Wild,2020,111166669
Mamma Mia! 2020 Re-release,2020,84604815
Caught in Time,2020,80543319
Mulan,2020,69965374
The Yin-Yang Master: Dream of Eternity,2020,68000000
Stand by Me Doraemon 2,2020,65201374
The Rescue,2020,64237554
Love You Forever,2020,60670799
Greenland,2020,52300000
Tolo Tolo,2020,52186426
Vanguard,2020,50866901
Fantasy Island,2020,49447308
Trolls World Tour,2020,49276818
The New Mutants,2020,49169594
After We Collided,2020,47990414
"From Today, It's My Turn: The Movie",2020,47895887
Tanhaji: The Unsung Warrior,2020,45221814
Unhinged,2020,44331465
The End of Endless Love,2020,43950000
The War with Grandpa,2020,43387638
Peninsula,2020,42698327
Monster Hunter,2020,42145959
Underwater,2020,40882928
Bloodshot,2020,39861118
Sarileru Neekevvaru,2020,37389889
The Untold Tale of the Three Kingdoms,2020,36747486
The Confidence Man JP: Princess,2020,36109913
The Man Standing Next,2020,34664900
My Mom is a Character 3,2020,34360029
Doraemon the Movie: Nobita's New Dinosaur,2020,34218525
Deliver Us from Evil,2020,33718703
Harry Potter and the Sorcerer's Stone 2020 Re-release,2020,31503136
Honest Thief,2020,31220247
Like a Boss,2020,30399490
The Witches,2020,29303571
Bath Buddy,2020,28700000
Scoob!,2020,28588425
Ala Vaikunthapurramuloo,2020,28477890
Emma.,2020,26404660
Leap,2020,25818882
Gravity 2020 Re-release,2020,24857278
The Father,2020,24048935
Poupelle of Chimney Town,2020,22715146
Gretel & Hansel,2020,22304357
Moana 2020 Re-release,2020,21737046
Stigmatized Properties,2020,21276720
Pokémon the Movie: Secrets of the Jungle,2020,21097921
The Photograph,2020,20690779
Threads - Our Tapestry of Love,2020,20474270
Violet Evergarden: The Movie,2020,20339624
Brahms: The Boy II,2020,20311536
Interstellar 2020 Re-release,2020,19990000
Ice 2,2020,19788995
Soul Snatcher,2020,19561221
The Turning,2020,19428166
Fate/stay night [Heaven's Feel] III. spring song,2020,19252497
Promising Young Woman,2020,18854166
Takizawa Enbujo Zero,2020,18091395
Freaky,2020,18073433
The Promised Neverland,2020,17710977
Kaiji: Final Game,2020,17645779
Hitman: Agent Jun,2020,17601351
Digimon Adventure: Last Evolution Kizuna,2020,17361009
Bye Bye Morons,2020,16955924
Baaghi 3,2020,16726510
I Still Believe,2020,16069730
The Way Back,2020,15490514
Father There is Only One 2,2020,15373181
The Personal History of David Copperfield,2020,14399270
Nightlife,2020,14308789
Pawn,2020,14193957
The Post 2020 Re-release,2020,13995207
#Alive,2020,13432212
Howling Village,2020,13394556
Come Play,2020,13182254
Samjin Company English Class,2020,12761386
Another Round,2020,12745392
News of the World,2020,12668325
Collectors,2020,12640113
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,2020,12221804
Ducobu 3,2020,12157793
The Asadas,2020,11888743
Wotakoi: Love Is Hard for Otaku,2020,11702371
30 jours max,2020,11007713
Bigfoot Family,2020,10987975
The Voice of Sin,2020,10983063
Two by Two: Overboard!,2020,10885076
Let Him Go,2020,10835686
One Second,2020,10791301
Me contro Te - Il film: La vendetta del Signor S,2020,10779891
Impractical Jokers: The Movie,2020,10691091
Honest Candidate,2020,10597464
The Hunt,2020,10550350
Street Dancer 3D,2020,10339127
My Spy,2020,10200000
100% Wolf,2020,9766489
Stolen Identity 2,2020,9687188
Inception 10th Anniversary re-release,2020,9581100
10 Days with Dad,2020,9472077
Secret Zoo,2020,9471940
365 Days,2020,9458590
Okay Madam,2020,9433525
L'appel de la forêt,2020,9317347
The Closet,2020,9039424
Malasaña 32,2020,8968845
Break the Silence: The Movie,2020,8954345
I Hate Summer,2020,8926071
Downhill,2020,8899195
Les blagues de Toto,2020,8859185
The Secret Garden,2020,8721243
War of the Eltis,2020,8613864
Malang,2020,8399765
Your Eyes Tell,2020,8020474
"My Donkey, My Lover & I",2020,7974769
AI Amok,2020,7932191
The Lost Prince,2020,7837980
Antebellum,2020,7792716
The Marriage Escape,2020,7760946
Spirited Away Studio Ghibli Fest 2020,2020,7732697
Princess Mononoke Studio Ghibli Fest 2020,2020,7673800
The Heist of the Century,2020,7627100
De Gaulle,2020,7501454
Fukushima 50,2020,7494243
The Best Years,2020,7355020
Mamma Mia! Here We Go Again 2020 Re-release,2020,7225624
Bohemian Rhapsody 2020 Re-release,2020,7158262
The (UN)perfect Guy,2020,7154649
Spycies,2020,7128952
Back to the Wharf,2020,7090000
Adu,2020,7085946
Fatale,2020,7031289
Dragon Rider,2020,6977378
Jim Button and the Wild 13,2020,6933267
Psy 3: W imie zasad,2020,6725146
Blood Moon Party,2020,6709383
Innocence,2020,6688330
Shubh Mangal Zyada Saavdhan,2020,6574905
Chhapaak,2020,6532100
"Love Me, Love Me Not",2020,6494241
Hammamet,2020,6434874
Lindenberg! Mach dein Ding,2020,6404964
Midnight Swan,2020,6397065
Nausicaä of the Valley of the Wind 2020 Re-release,2020,6395525
Simply Black,2020,6323750
My Boyfriend's Meds,2020,6292780
Bill & Ted Face the Music,2020,6274027
Hotel Belgrade,2020,6189882
How to Be a Good Wife,2020,6033430
The Legacy Of Dr. Death: Black File,2020,6024046
A Piece of Cake,2020,6008448
The Rhythm Section,2020,5989583
How I Became a Gangster,2020,5975729
The Innocent,2020,5929392
Twiceborn,2020,5880157
The Royal Bride,2020,5830719
Beasts Clawing at Straws,2020,5796059
The Lion King 2020 Re-release,2020,5773266
Last Letter,2020,5663972
Yowamushi Pedal: The Movie 2020 Re-release,2020,5624218
Hocus Pocus 2020 Re-release,2020,5609193
Klassikokkutulek 2: Pulmad ja matused,2020,5543147
Mama Weed,2020,5461144
Divorce Club,2020,5316313
Cats & Dogs 3: Paws Unite,2020,5300000
Cindy La Regia,2020,5222322
Run,2020,5184368
Love Aaj Kal,2020,5120794
Masked Ward,2020,5107013
Ayyappanum Koshiyum,2020,5088713
Baba Parasi,2020,5084342
Die Känguru-Chroniken,2020,5081127
The Real Exorcist,2020,5035830
Mayday,2020,5011408
Bheeshma,2020,4997080
Made in Abyss: Dawn of the Deep Soul,2020,4971635
Godai - The Wunderkind,2020,4948225
Military Wives,2020,4890505
Panga,2020,4886124
The Tales for Old and Young,2020,4853143
Streltsov,2020,4850073
Persian Lessons,2020,4849240
The SpongeBob Movie: Sponge on the Run,2020,4810790
