movie_id,title,year,genres,imdb_rating,rotten_tomatoes,age
tt0069049,The Other Side of the Wind,2018,Drama,6.7,61,18+
tt0315642,Wazir,2016,"Action,Crime,Drama",7.1,59,13+
tt0365545,Nappily Ever After,2018,"Comedy,Drama,Romance",6.4,74,18+
tt0460890,The Only Living Boy in New York,2017,Drama,6.4,63,18+
tt0462335,High-Rise,2015,"Drama,Sci-Fi",5.5,67,18+
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Mystery",6.3,72,13+
tt0478970,Ant-Man,2015,"Action,Comedy,Sci-Fi",7.2,84,13+
tt0490215,Silence,2016,"Drama,History",7.2,77,18+
tt0800325,The Dirt,2019,"Biography,Comedy,Drama",7.0,79,18+
tt0810819,The Danish Girl,2015,"Biography,Drama",7.1,75,18+
tt0810836,Dirt Music,2019,"Crime,Drama,Romance",5.4,48,13+
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",3.6,50,13+
tt0837156,Pee-wee's Big Holiday,2016,"Comedy,Family",6.1,73,7+
tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,68,18+
tt10003978,Fiddler: A Miracle of Miracles,2019,Documentary,7.6,51,13+
tt10011500,Slay the Dragon,2019,Documentary,7.3,48,13+
tt1002563,The Young Messiah,2016,"Drama,Fantasy",5.7,57,13+
tt10054316,Guest House,2020,Comedy,4.4,51,18+
tt10055028,Dolphin Reef,2018,"Documentary,Family",7.4,48,all
tt10059518,Unhinged,2020,"Action,Thriller",6.0,72,18+
tt10060094,The Knight Before Christmas,2019,"Adventure,Comedy,Drama",5.6,60,7+
tt10065694,Antebellum,2020,"Drama,Horror,Mystery",5.8,67,18+
tt10091530,Holiday Rush,2019,"Comedy,Drama,Family",5.0,48,7+
tt10092752,Earth and Blood,2020,"Action,Drama,Thriller",5.2,46,18+
tt10121762,Uriyadi 2,2019,Thriller,7.0,49,all
tt10127562,Dragon Quest: Your Story,2019,"Action,Adventure,Animation",6.5,60,7+
tt10127684,Rogue City,2020,"Action,Crime,Drama",6.1,60,13+
tt10147546,Homecoming: A Film by Beyoncé,2019,"Documentary,Music",7.6,71,13+
tt10156112,"Hello, Love, Goodbye",2019,"Drama,Romance",7.3,58,7+
tt10161886,The Prom,2020,"Comedy,Drama,Musical",5.9,65,13+
tt10165624,Christmas Coupon,2019,"Comedy,Family,Romance",3.4,40,all
tt10181594,Uncle Naji in UAE,2019,"Comedy,Horror",5.3,38,13+
tt10183816,Dangerous Lies,2020,"Crime,Mystery,Thriller",5.4,60,16+
tt10199586,Atlantics,2019,"Drama,Fantasy,Mystery",6.7,79,13+
tt10199914,The Boys in the Band,2020,Drama,6.8,64,18+
tt10229846,Rolling Stone: Life and Death of Brian Jones,2019,"Documentary,Music",6.2,43,13+
tt10230422,Class of '83,2020,"Crime,Drama,Thriller",5.8,53,16+
tt10230436,Yeh Ballet,2020,"Drama,Musical",7.5,53,13+
tt10230492,Still Today,2020,"Comedy,Romance",5.5,42,16+
tt10235600,Kaali Khuhi,2020,"Drama,Horror,Mystery",3.7,39,16+
tt10243992,I'm Your Woman,2020,"Crime,Drama",6.2,65,18+
tt10250750,Boonie Bears: Blast Into the Past,2019,"Adventure,Animation,Fantasy",5.6,44,7+
tt1025100,Gemini Man,2019,"Action,Sci-Fi,Thriller",5.7,73,13+
tt10253466,Badland,2019,"Drama,Western",5.6,54,13+
tt10255320,Deviant Love,2019,Thriller,3.6,43,16+
tt10276114,Rapid Response,2019,"Documentary,Sport",8.1,46,13+
tt10276470,Work It,2020,"Comedy,Music",6.1,62,16+
tt10288566,Another Round,2020,"Comedy,Drama",7.7,80,18+
tt10289996,The Black Godfather,2019,"Biography,Documentary",7.5,57,18+
tt10303324,Survive the Night,2020,"Action,Drama,Thriller",4.0,54,18+
tt10307440,The Decline,2020,"Action,Thriller",6.0,58,18+
tt10308928,Force of Nature,2020,"Action,Adventure,Crime",4.6,58,18+
tt10324122,Secret Society of Second Born Royals,2020,"Action,Adventure,Comedy",5.1,60,7+
tt10324144,Article 15,2019,"Crime,Drama,Mystery",8.1,92,18+
tt1034385,Cold Skin,2017,"Action,Fantasy,Horror",6.0,63,16+
tt1034415,Suspiria,2018,"Drama,Fantasy,Horror",6.7,73,18+
tt10350626,Gunjan Saxena: The Kargil Girl,2020,"Action,Biography,Drama",5.6,65,16+
tt10362466,After We Collided,2020,"Drama,Romance",5.1,68,18+
tt10394738,I Am Greta,2020,"Biography,Documentary",7.5,63,16+
tt10397734,The Set Up,2019,"Crime,Drama",4.2,37,18+
tt10431500,Miracle in Cell No. 7,2019,Drama,8.2,77,16+
tt10456740,Lost Bullet,2020,"Action,Crime,Thriller",6.4,73,18+
tt10477558,Violet Evergarden: Eternity and the Auto Memory Doll,2019,"Animation,Drama,Family",7.5,63,7+
tt10514222,Ma Rainey's Black Bottom,2020,"Drama,Music",6.9,84,18+
tt10525174,Narco Soldiers,2019,"Action,Crime",4.0,38,13+
tt10525672,Silver Skates,2020,"Adventure,Drama,Romance",7.1,62,18+
tt10529644,Copper Bill,2020,Thriller,3.7,42,7+
tt10539608,The Midnight Sky,2020,"Adventure,Drama,Sci-Fi",5.7,71,13+
tt10579992,Mister America,2019,Comedy,6.4,53,18+
tt10589914,The Forest of Love,2019,"Crime,Drama,Horror",6.2,69,18+
tt10600398,We Can Be Heroes,2020,"Action,Animation,Comedy",4.7,54,7+
tt10618286,Mank,2020,"Biography,Drama",6.8,74,18+
tt10627584,The Life Ahead,2020,Drama,6.8,82,13+
tt10637682,The Panti Sisters,2019,Comedy,5.7,46,13+
tt10642834,The Forty-Year-Old Version,2020,"Comedy,Drama",7.2,64,18+
tt10649016,Safety,2020,"Biography,Drama,Sport",6.8,61,7+
tt10682266,Hubie Halloween,2020,"Comedy,Horror,Mystery",5.3,63,13+
tt1070874,The Trial of the Chicago 7,2020,"Drama,History,Thriller",7.7,92,18+
tt10709060,Game Over,2019,"Action,Crime,Horror",6.1,74,13+
tt10711654,Most Likely to Succeed,2019,Documentary,7.0,47,16+
tt10714856,Feel the Beat,2020,"Comedy,Drama,Family",6.3,62,all
tt10715194,Back to School,2019,Comedy,5.3,49,18+
tt1072748,Winchester,2018,"Biography,Fantasy,Horror",5.5,65,13+
tt10728764,Nobody Knows I'm Here,2020,"Drama,Music",6.5,74,18+
tt10731386,Audrey,2020,"Biography,Documentary,History",7.1,61,16+
tt10773090,Sarileru Neekevvaru,2020,"Action,Comedy,Drama",5.8,56,13+
tt10773114,One Day We'll Talk About Today,2020,Drama,7.3,53,all
tt10798660,Wish Upon a Unicorn,2020,"Adventure,Family,Fantasy",5.3,47,7+
tt10816484,18 Presents,2020,"Drama,Family,Fantasy",6.9,67,18+
tt10845262,Miracle in Cell No. 7,2019,"Comedy,Drama",7.5,77,16+
tt10851618,Rising Phoenix,2020,"Documentary,Sport",8.1,67,13+
tt10856726,Travis Scott: Look Mom I Can Fly,2019,"Documentary,Music",6.3,55,18+
tt1086064,Bill & Ted Face the Music,2020,"Adventure,Comedy,Music",5.9,72,7+
tt10883004,"Bikram: Yogi, Guru, Predator",2019,"Crime,Documentary",6.7,75,18+
tt10886166,365 Days,2020,"Drama,Romance",3.3,59,18+
tt10895610,Float,2019,Documentary,6.9,60,7+
tt10915286,Tell Me Who I Am,2019,"Documentary,Drama,Mystery",7.6,89,18+
tt10920190,Righteous Villains,2020,"Crime,Thriller",3.3,40,18+
tt10933680,Debt Collectors,2020,"Action,Comedy",5.8,56,18+
tt10941528,Under the Riccione Sun,2020,"Comedy,Drama,Romance",5.6,49,18+
tt10958282,Street Flow,2019,"Crime,Drama",6.4,42,18+
tt10994688,The Binge,2020,Comedy,5.3,62,18+
tt11010144,Seriously Single,2020,"Comedy,Romance",4.6,50,18+
tt11044122,Never Surrender: A Galaxy Quest Documentary,2019,Documentary,7.7,61,13+
tt11057594,Fatal Affair,2020,"Crime,Horror,Mystery",4.6,46,16+
tt11057644,The Christmas Chronicles: Part Two,2020,"Adventure,Comedy,Family",6.0,64,7+
tt11057912,Tuna Girl,2019,"Comedy,Drama",6.2,41,7+
tt11101550,Tales of Found Footage,2019,Horror,3.6,38,18+
tt11127690,The Paramedic,2020,"Crime,Drama,Thriller",5.7,62,18+
tt11156614,Dead Kids,2019,"Drama,Thriller",5.4,49,18+
tt11161474,Pieces of a Woman,2020,Drama,7.0,88,18+
tt11199410,The Princess Switch: Switched Again,2020,"Comedy,Drama,Family",5.5,57,all
tt1124037,Free State of Jones,2016,"Action,Biography,Drama",6.9,72,18+
tt11240506,Nobody Sleeps in the Woods Tonight,2020,"Comedy,Fantasy,Horror",4.9,59,18+
tt11242218,Books of Blood,2020,"Drama,Horror,Mystery",5.6,60,18+
tt11276598,Pets United,2019,"Adventure,Animation,Comedy",3.7,50,7+
tt11284280,Cadaver,2020,"Drama,Horror,Thriller",5.2,56,18+
tt11327514,Uncle Frank,2020,"Comedy,Drama",7.3,69,18+
tt11378154,The App That Stole Christmas,2020,Comedy,2.7,39,7+
tt11378264,Mucho Mucho Amor: The Legend of Walter Mercado,2020,"Biography,Documentary",7.3,58,16+
tt11388406,Horse Girl,2020,"Drama,Mystery,Thriller",6.0,72,18+
tt11388580,Miss Americana,2020,"Biography,Documentary,Music",7.4,90,18+
tt11390036,A Fall from Grace,2020,"Crime,Drama,Mystery",5.9,60,18+
tt11394180,Dick Johnson Is Dead,2020,"Biography,Documentary,Drama",7.4,64,13+
tt11394184,The Fight,2020,Documentary,6.8,58,13+
tt11394338,Giving Voice,2020,Documentary,7.0,68,13+
tt11416746,Time,2020,"Biography,Documentary",6.8,73,13+
tt11426644,We Are Freestyle Love Supreme,2020,"Comedy,Documentary,Musical",7.0,64,18+
tt11454066,You Cannot Kill David Arquette,2020,"Documentary,Sport",7.1,59,18+
tt11464826,The Social Dilemma,2020,"Documentary,Drama",7.6,93,13+
tt11576124,Rogue,2020,"Action,Horror,Thriller",4.2,57,18+
tt1158939,Never Grow Old,2019,"Drama,Thriller,Western",6.0,58,18+
tt11640412,#FriendButMarried 2,2020,"Biography,Comedy,Drama",6.8,47,16+
tt11642302,#cats_the_mewvie,2020,Documentary,5.3,46,16+
tt11649910,Forgotten,2017,Documentary,8.0,70,18+
tt11651796,AK vs AK,2020,"Comedy,Crime,Drama",6.9,60,18+
tt11656172,Hard Kill,2020,"Action,Thriller",3.1,53,18+
tt11681250,Godmothered,2020,"Comedy,Drama,Family",6.1,63,7+
tt11690838,The Legend of Baron To'a,2020,"Action,Comedy",6.4,46,18+
tt11697484,The 2nd,2020,"Action,Drama",3.9,52,16+
tt11749980,Tarung Sarung,2020,"Action,Drama",5.9,46,16+
tt11792734,Leyla Everlasting,2020,Comedy,3.7,45,18+
tt11827806,So Much Love to Give,2020,Comedy,5.3,47,16+
tt1183374,Pet,2016,"Crime,Horror,Thriller",5.7,62,18+
tt11835236,Generasi 90an: Melankolia,2020,Drama,5.5,41,13+
tt11905462,Athlete A,2020,"Crime,Documentary,Sport",7.6,67,13+
tt11905962,Sputnik,2020,"Drama,Horror,Mystery",6.4,70,18+
tt11906032,Picture a Scientist,2020,Documentary,7.8,49,13+
tt11916302,Derek DelGaudio's In & Of Itself,2020,Documentary,8.2,67,13+
tt11958344,A Whisker Away,2020,"Adventure,Animation,Drama",6.7,81,7+
tt11968072,A Stone in the Water,2019,Thriller,4.0,42,18+
tt11988512,One-Way to Tomorrow,2020,"Comedy,Drama,Romance",5.6,53,18+
tt11990802,Don't Call Me Bigfoot,2020,Documentary,5.6,43,7+
tt11994750,Made You Look: A True Story About Fake Art,2020,"Crime,Documentary",7.0,57,18+
tt12036052,Elephant,2020,"Adventure,Biography,Documentary",7.3,54,all
tt12053202,Arendelle Castle Yule Log,2019,Animation,4.7,38,all
tt1206885,Rambo: Last Blood,2019,"Action,Crime,Thriller",6.1,73,18+
tt12100044,In the Footsteps of Elephant,2020,"Adventure,Documentary,Family",7.1,45,all
tt12108272,Close Encounters of the Fifth Kind,2020,Documentary,6.1,57,7+
tt12116846,Pandemic,2020,Thriller,4.6,55,18+
tt1211837,Doctor Strange,2016,"Action,Adventure,Fantasy",7.5,85,13+
tt12139700,Jungle Beat: The Movie,2020,"Adventure,Animation,Comedy",5.5,51,all
tt12187586,Father Soldier Son,2020,"Documentary,War",7.3,53,18+
tt12215286,Dino Dana: The Movie,2020,"Adventure,Family,Fantasy",5.2,45,7+
tt1226837,Beautiful Boy,2018,"Biography,Drama",7.4,87,18+
tt12282598,Intuition,2020,"Crime,Drama,Mystery",5.6,50,18+
tt12298506,Black Box,2020,"Horror,Mystery,Sci-Fi",6.2,61,16+
tt1230168,Same Kind of Different as Me,2017,"Biography,Drama",6.6,64,13+
tt12323842,Gina Brillon: The Floor Is Lava,2020,Comedy,6.4,43,18+
tt1235187,Where Hands Touch,2018,"Drama,Romance,War",6.6,59,13+
tt1239242,Frank and Cindy,2015,Comedy,6.0,50,18+
tt12393526,Bulbbul,2020,"Drama,Horror,Mystery",6.6,63,18+
tt12517908,Aliens Stole My Body,2020,"Adventure,Comedy,Family",3.4,39,7+
tt12538822,All In: The Fight for Democracy,2020,Documentary,6.9,74,13+
tt12588398,We Are One,2020,Documentary,5.7,36,18+
tt12607910,Black Is King,2020,"Adventure,Drama,Fantasy",6.0,79,16+
tt1266036,Valley Girl,2020,"Comedy,Music,Musical",5.5,57,13+
tt12660966,Lost on Everest,2020,Documentary,6.6,48,13+
tt12690910,Hamilton: History Has Its Eyes on You,2020,"Documentary,Talk-Show",6.5,41,7+
tt12724622,Anelka: Misunderstood,2020,"Documentary,Sport",6.4,53,16+
tt12752158,Terror at Bigfoot Pond,2020,Thriller,1.3,34,18+
tt12757438,Smiley Face Killers,2020,"Horror,Thriller",3.7,43,18+
tt12766708,Deep in Vogue,2019,Documentary,6.5,42,18+
tt12792418,Night in Paradise,2020,"Action,Crime,Drama",6.8,60,16+
tt12824834,Jennifer Aniston: More Than Friends,2020,"Biography,Documentary",4.8,40,7+
tt12838350,The Assistant,2020,Thriller,4.7,66,18+
tt1285009,The Strangers: Prey at Night,2018,Horror,5.3,64,18+
tt12888462,My Octopus Teacher,2020,"Documentary,Drama",8.1,83,all
tt1289401,Ghostbusters,2016,"Action,Comedy,Fantasy",6.8,78,13+
tt12981810,Finding Jesus,2020,"Animation,Family,Fantasy",1.3,36,all
tt12982218,GIMS: On the Record,2020,"Documentary,Music",6.8,41,18+
tt1298644,The Hustle,2019,"Comedy,Crime",5.5,67,13+
tt12987894,American Murder: The Family Next Door,2020,"Crime,Documentary",7.2,68,18+
tt13009186,The Boy from Medellín,2020,"Biography,Documentary,Music",6.1,53,18+
tt1302006,The Irishman,2019,"Biography,Crime,Drama",7.8,98,18+
tt13033280,Space Dogs: Tropical Adventure,2020,"Action,Adventure,Animation",4.3,42,7+
tt13055780,A California Christmas,2020,"Comedy,Drama,Romance",5.9,57,13+
tt13058290,Blackpink: Light Up the Sky,2020,"Documentary,Music",7.3,63,all
tt13065386,Totally Under Control,2020,Documentary,7.6,64,16+
tt13081264,Story of Kale: When Someone's in Love,2020,"Drama,Romance",6.3,44,18+
tt1308728,The Happytime Murders,2018,"Action,Comedy,Crime",5.5,64,18+
tt13106900,All Because of You,2020,"Action,Comedy,Romance",4.1,41,7+
tt13143964,Borat Subsequent Moviefilm,2020,Comedy,6.6,88,18+
tt13150630,Secrets of the Saqqara Tomb,2020,"Documentary,History",7.2,60,7+
tt13179918,Meteor Moon,2020,"Action,Sci-Fi",2.4,42,7+
tt13206564,The Three Deaths of Marisela Escobedo,2020,"Crime,Documentary",8.1,62,18+
tt13236566,Operation Christmas Drop,2020,"Comedy,Family,Romance",5.9,62,all
tt13237174,The Real Right Stuff,2020,Documentary,7.2,54,7+
tt13276386,Shawn Mendes: In Wonder,2020,"Documentary,Music",6.5,49,18+
tt13279528,What We Wanted,2020,Drama,5.9,51,18+
tt13290168,High School Musical: The Musical: The Holiday Special,2020,"Comedy,Drama,Musical",5.6,45,all
tt13292206,Bobbleheads: The Movie,2020,"Animation,Family",2.4,38,7+
tt13318052,Midnight at the Magnolia,2020,"Comedy,Romance",5.8,52,all
tt13410288,The Decline,2020,Documentary,6.4,58,18+
tt13528990,Shawn Mendes: Live in Concert,2020,Music,7.3,47,7+
tt1365050,Beasts of No Nation,2015,"Drama,War",7.7,74,18+
tt13723064,All My Friends Are Dead,2020,"Comedy,Crime,Horror",5.9,57,18+
tt1386691,Shimmer Lake,2017,"Action,Comedy,Crime",6.3,61,18+
tt1464763,Mute,2018,"Mystery,Sci-Fi,Thriller",5.5,64,18+
tt1480285,Abattoir,2016,"Horror,Mystery,Thriller",4.5,54,18+
tt1485796,The Greatest Showman,2017,"Biography,Drama,Musical",7.5,82,7+
tt1488606,Triple Frontier,2019,"Action,Adventure,Thriller",6.5,72,18+
tt1489887,Booksmart,2019,Comedy,7.1,78,18+
tt1507002,Bottom of the 9th,2019,Drama,5.7,50,18+
tt1536537,What Happened to Monday,2017,"Action,Crime,Fantasy",6.8,86,18+
tt1540011,Blair Witch,2016,"Horror,Mystery,Thriller",5.0,64,18+
tt1542768,True Memoirs of an International Assassin,2016,"Action,Comedy,Crime",5.9,61,16+
tt1544608,Voice from the Stone,2017,"Drama,Mystery,Thriller",5.2,59,18+
tt1545304,Desperados,2020,"Comedy,Romance",5.2,57,18+
tt1552211,The Last Days of American Crime,2020,"Action,Crime,Drama",3.8,46,18+
tt1588878,The Late Bloomer,2016,"Comedy,Drama,Romance",5.2,58,18+
tt1617661,Jupiter Ascending,2015,"Action,Adventure,Animation",5.3,71,13+
tt1618434,Murder Mystery,2019,"Crime,Mystery,Romance",6.1,76,13+
tt1620680,A Wrinkle in Time,2018,"Adventure,Drama,Family",4.3,62,7+
tt1620981,The Addams Family,2019,"Animation,Comedy,Family",5.9,68,7+
tt1629242,Careful What You Wish For,2015,"Drama,Romance,Thriller",5.6,61,18+
tt1655441,The Age of Adaline,2015,"Drama,Fantasy,Romance",7.2,77,13+
tt1655461,Wild Oats,2016,"Action,Adventure,Comedy",5.7,56,13+
tt1680140,The Stolen,2017,"Action,Adventure,Drama",5.4,51,16+
tt1690967,Come Sunday,2018,"Biography,Drama",6.0,64,16+
tt1691916,Before I Fall,2017,"Drama,Fantasy,Mystery",6.4,71,13+
tt1694021,Into the Grizzly Maze,2015,"Action,Adventure,Horror",5.3,60,18+
tt1712192,Message from the King,2016,"Action,Crime,Drama",6.4,62,18+
tt1712261,Triple 9,2016,"Action,Crime,Drama",6.3,70,18+
tt1714917,Gimme Danger,2016,"Documentary,Music",7.2,62,18+
tt1720621,Trafficked,2017,"Drama,Thriller",5.8,53,18+
tt1724970,Beyond Skyline,2017,"Action,Adventure,Horror",5.3,63,18+
tt1727770,Absolutely Anything,2015,"Comedy,Sci-Fi",6.0,67,18+
tt1727824,Bohemian Rhapsody,2018,"Biography,Drama,Music",7.9,85,13+
tt1730768,The Zookeeper's Wife,2017,"Biography,Drama,History",7.0,71,13+
tt1734493,Unlocked,2017,"Action,Thriller",6.3,69,18+
tt1754656,The Little Prince,2015,"Adventure,Animation,Comedy",7.6,74,7+
tt1773753,Mara,2018,"Crime,Horror,Mystery",5.1,59,18+
tt1780967,Seberg,2019,"Biography,Drama,History",6.0,65,18+
tt1781922,No Escape,2015,"Action,Thriller",6.8,73,18+
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.5,78,13+
tt1799516,Benji,2018,"Crime,Drama,Family",6.4,59,7+
tt1801552,Gotti,2018,"Biography,Crime,Drama",4.8,58,18+
tt1825683,Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,84,13+
tt1830643,Death of Me,2020,"Horror,Mystery,Thriller",4.5,56,18+
tt1833116,The Informer,2019,"Action,Crime,Drama",6.6,70,18+
tt1838556,Honest Thief,2020,"Action,Crime,Drama",6.0,72,13+
tt1841642,Demonic,2015,"Horror,Mystery,Thriller",5.3,61,18+
tt1860242,The Highwaymen,2019,"Biography,Crime,Drama",6.9,73,18+
tt1878841,The Darkness,2016,"Horror,Thriller",4.5,59,13+
tt1880399,Kodachrome,2017,Drama,6.8,67,18+
tt1918734,2067,2020,"Mystery,Sci-Fi",4.9,62,16+
tt1935194,Overdrive,2017,"Action,Adventure,Crime",5.4,59,13+
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,"Adventure,Drama,Family",6.7,76,13+
tt1937340,Beyond Paradise,2015,"Drama,Romance",5.4,44,7+
tt1949605,Who Gets the Dog?,2016,Comedy,4.9,50,7+
tt1950135,Drunk Wedding,2015,Comedy,4.6,45,18+
tt1950235,Let It Snow,2019,"Comedy,Romance",5.9,73,13+
tt1961175,American Assassin,2017,"Action,Thriller",6.2,72,18+
tt1974419,The Neon Demon,2016,"Horror,Thriller",6.1,70,18+
tt1979376,Toy Story 4,2019,"Adventure,Animation,Comedy",7.6,82,all
tt1979388,The Good Dinosaur,2015,"Action,Adventure,Animation",6.7,75,7+
tt1999890,Hell Fest,2018,"Horror,Mystery,Thriller",5.5,61,18+
tt2005151,War Dogs,2016,"Biography,Comedy,Crime",7.1,79,18+
tt2006295,The 33,2015,"Biography,Drama,History",6.9,69,13+
tt2016335,Walter,2015,"Comedy,Drama",5.4,51,18+
tt2025690,The Finest Hours,2016,"Action,Drama,History",6.7,72,13+
tt2032572,USS Indianapolis: Men of Courage,2016,"Action,Drama,History",5.3,63,18+
tt2057392,Eye in the Sky,2015,"Action,Drama,Thriller",7.3,75,18+
tt2066051,Rocketman,2019,"Biography,Drama,Music",7.3,79,18+
tt2069797,Delirium,2018,"Horror,Thriller",5.7,62,18+
tt2072233,Sleepless,2017,"Action,Crime,Thriller",5.6,67,18+
tt2076298,Ip Man 4: The Finale,2019,"Action,Biography,Drama",7.0,71,16+
tt2080374,Steve Jobs,2015,"Biography,Drama",7.2,76,18+
tt2090465,Black Butterfly,2017,"Drama,Mystery,Thriller",6.1,63,18+
tt2093991,Elvis & Nixon,2016,"Comedy,History",6.3,62,18+
tt2106651,Spectral,2016,"Action,Adventure,Sci-Fi",6.3,71,13+
tt2114504,Woody Woodpecker,2017,"Adventure,Animation,Comedy",4.2,52,7+
tt2126357,Second Act,2018,"Comedy,Drama,Romance",5.8,66,13+
tt2140379,Self/less,2015,"Action,Mystery,Sci-Fi",6.5,73,13+
tt2197936,Fatima,2020,"Drama,War",6.6,57,13+
tt2224026,Home,2015,"Adventure,Animation,Comedy",6.5,74,7+
tt2226597,The Mountain Between Us,2017,"Drama,Thriller",6.4,72,13+
tt2235695,Rebecca,2020,"Drama,Mystery,Romance",6.1,60,13+
tt2277860,Finding Dory,2016,"Adventure,Animation,Comedy",7.2,81,7+
tt2291540,My Friend Dahmer,2017,"Biography,Crime,Drama",6.2,66,18+
tt2323912,Beast Mode,2020,"Comedy,Horror",3.7,44,18+
tt2338424,Tumbledown,2015,"Comedy,Drama,Music",6.2,62,18+
tt2365580,"Where'd You Go, Bernadette",2019,"Comedy,Crime,Drama",6.5,67,13+
tt2368254,A Private War,2018,"Biography,Drama,War",6.7,67,18+
tt2380307,Coco,2017,"Adventure,Animation,Drama",8.4,87,7+
tt2386237,Malevolent,2018,"Horror,Mystery,Thriller",4.9,60,18+
tt2386404,He Never Died,2015,"Comedy,Drama,Fantasy",6.3,64,18+
tt2388771,Mowgli: Legend of the Jungle,2018,"Adventure,Drama,Fantasy",6.5,69,13+
tt2390335,The Bone Garden,2016,Thriller,3.3,38,18+
